line_no,chunk_id,direction,bytes,rms,event_note
217,770,client,3200,0.0273,
218,771,client,3200,0.0243,
219,772,client,3200,0.0293,
220,773,client,3200,0.0333,
221,774,client,3200,0.0308,
222,775,client,3200,0.0311,
223,776,client,3200,0.0314,
224,779,client,3200,0.0429,
225,780,client,3200,0.0366,
226,797,client,3200,0.0534,
227,798,client,3200,0.0296,
228,799,client,3200,0.0342,
229,800,client,3200,0.0298,
230,800,gemini,3200,0.0298,
231,801,client,3200,0.0286,
232,803,client,3200,0.0284,
233,824,client,3200,0.0222,
234,825,client,3200,0.0606,
235,826,client,3200,0.0263,
236,827,client,3200,0.0417,
237,828,client,3200,0.0377,
238,829,client,3200,0.0266,
239,830,client,3200,0.0253,
240,831,client,3200,0.0293,
241,857,client,3200,0.052,
242,858,client,3200,0.0276,
243,859,client,3200,0.0425,
244,860,client,3200,0.0333,
245,861,client,3200,0.053,
246,862,client,3200,0.0357,
247,863,client,3200,0.046,
248,882,client,3200,0.029,
249,883,client,3200,0.0697,
250,884,client,3200,0.0352,
251,885,client,3200,0.037,
252,886,client,3200,0.0677,
253,887,client,3200,0.0241,
254,888,client,3200,0.0204,
255,891,client,3200,0.027,
256,900,gemini,3200,0.0068,
257,966,client,3200,0.0396,
258,967,client,3200,0.0312,
259,968,client,3200,0.0228,
260,974,client,3200,0.0214,
261,975,client,3200,0.0296,
262,977,client,3200,0.0225,
263,987,client,3200,0.0311,
264,988,client,3200,0.024,
265,998,client,3200,0.0204,
266,999,client,3200,0.0323,
267,1000,gemini,3200,0.0103,
268,1002,client,3200,0.0409,
269,1003,client,3200,0.0255,
270,1005,client,3200,0.0288,
271,1006,client,3200,0.0243,
272,1014,client,3200,0.0331,
273,1017,client,3200,0.0344,
274,1018,client,3200,0.0354,
275,1020,client,3200,0.0308,
276,1021,client,3200,0.0271,
277,1044,client,3200,0.0307,
278,1045,client,3200,0.0325,
279,1047,client,3200,0.02,
280,1048,client,3200,0.0337,
281,1062,client,3200,0.0364,
282,1063,client,3200,0.0268,
283,1066,client,3200,0.0309,
284,1078,client,3200,0.0296,
285,1079,client,3200,0.0213,
286,1100,gemini,3200,0.0026,
287,1105,client,3200,0.0401,
288,1124,client,3200,0.0293,
289,1135,client,3200,0.0237,
290,1200,gemini,3200,0.003,
291,1208,client,3200,0.0241,
292,1209,client,3200,0.0301,
293,1210,client,3200,0.0298,
294,1227,client,3200,0.0373,
295,1228,client,3200,0.0745,
296,1229,client,3200,0.0466,
297,1230,client,3200,0.1108,rms_spike
298,1231,client,3200,0.0828,rms_spike
299,1232,client,3200,0.1014,rms_spike
300,1233,client,3200,0.1085,rms_spike
301,1234,client,3200,0.0684,
302,1235,client,3200,0.081,rms_spike
303,1236,client,3200,0.0855,rms_spike
304,1237,client,3200,0.0621,
305,1238,client,3200,0.0437,
306,1239,client,3200,0.0249,
307,1240,client,3200,0.0217,
308,,asr,,,transcript_partial:Berapa lagi?
309,1300,gemini,3200,0.0028,
310,1302,client,3200,0.0246,
311,,asr,,,FINAL_MISSING reason=suppressed_audio text=Berapa lagi?
312,80,model_out,,,suppress chunks=1 total=80 mode=suppress
313,90,model_out,,,suppress chunks=1 total=90 mode=suppress
314,,gov,,,gov raw=RESPOND eff=RESPOND steer=engine llm=False play=True
315,,gemini,,,interrupted_flag keep_playback
316,,gate,,,gate_hold seen=False
317,1320,client,3200,0.03,
318,1322,client,3200,0.022,
319,1346,client,3200,0.025,
320,210,model_out,7680,,forward mode=engine
321,220,model_out,11520,,forward mode=engine
322,1400,gemini,3200,0.0008,
323,1429,client,3200,0.0371,
324,1443,client,3200,0.0233,
325,1445,client,3200,0.0203,
326,1500,gemini,3200,0.0015,
327,1519,client,3200,0.0218,
328,1527,client,3200,0.0314,
329,1561,client,3200,0.0421,
330,1600,gemini,3200,0.0008,
331,1632,client,3200,0.0303,
332,1637,client,3200,0.0277,
333,1646,client,3200,0.0417,
334,1676,client,3200,0.0364,
335,1700,gemini,3200,0.0061,
336,1704,client,3200,0.0375,
337,1716,client,3200,0.0345,
338,1726,client,3200,0.0256,
339,1732,client,3200,0.0797,
340,1760,client,3200,0.0529,
341,1798,client,3200,0.0261,
342,1800,gemini,3200,0.0044,
343,1809,client,3200,0.0289,
344,1900,gemini,3200,0.0019,
345,1906,client,3200,0.0306,
346,2000,gemini,3200,0.001,
347,2020,client,3200,0.0333,
348,2100,gemini,3200,0.0011,
